ID	Mass	Radius	e	a	Torb	Incl	
1473b	0.88	1.00	0.116	2.452	833.78	75.87	
1474a	2.01	1.33	0.177	0.095	5.76	-33.49	
1474b	2.80	1.76	0.011	0.034	1.24	-48.95	
1475a	1.59	1.17	0.066	0.271	34.48	-89.03	
1476a	1.34	1.07	0.157	0.010	0.24	-44.45	
1476b	2.76	1.41	0.019	0.588	103.12	84.59	
1476c	0.31	0.74	0.038	0.157	14.27	-21.76	
1476d	1.32	1.12	0.083	1.595	461.08	-31.79	
1476e	2.69	1.44	0.478	0.327	42.79	41.35	
1477a	2.34	1.58	0.958	2.105	620.18	33.40	
1478a	1.34	1.06	0.102	1.072	249.62	46.24	
1479a	2.81	1.60	0.450	2.583	906.81	-11.51	
1479b	1.91	1.22	0.247	0.017	0.49	-81.36	
1479c	2.27	1.16	0.051	0.590	98.89	18.00	
1479d	0.51	0.82	0.987	0.741	139.32	-45.37	
1480a	0.04	0.38	0.085	0.074	4.87	21.68	
1481a	1.41	1.13	0.384	2.761	1019.61	7.90	
1482a	0.58	0.85	0.038	2.469	824.84	12.76	
1482b	0.54	0.87	0.160	0.507	76.83	-31.51	
1483a	1.02	1.04	0.794	1.132	256.16	-6.43	
1483b	2.98	1.52	0.538	0.067	3.70	-75.41	
1483c	2.40	1.38	0.150	1.291	311.83	73.64	
1484a	2.47	1.63	0.024	1.289	311.14	38.58	
1484b	1.55	1.09	0.073	0.478	70.29	28.03	
1484c	1.01	0.97	0.339	0.625	104.94	-58.92	
1484d	2.96	1.37	0.092	0.111	7.87	-62.91	
1485a	0.57	0.87	0.551	1.489	386.25	9.96	
1485b	2.57	1.52	0.391	0.075	4.38	84.03	
1486a	0.87	0.99	0.038	0.010	0.18	7.66	
1487a	0.70	0.94	0.275	0.014	0.39	-69.40	
1487b	2.36	1.18	0.062	0.015	0.43	-74.55	
1487c	1.97	1.16	0.275	1.867	584.17	30.20	
1487d	0.69	0.92	0.480	2.870	1113.28	-82.73	
1488a	0.38	0.73	0.052	0.923	199.42	0.20	
1488b	0.27	0.69	0.373	2.470	872.65	55.65	
1489a	2.92	1.37	0.036	1.490	384.61	46.84	
1490a	0.22	0.64	0.183	0.965	184.49	64.54	
1491a	2.22	1.27	0.231	2.393	766.86	-8.22	
1492a	2.61	1.67	0.032	0.889	184.02	46.29	
1493a	0.05	0.45	0.020	0.802	194.43	7.20	
1494a	3.05	1.47	0.273	1.279	288.29	-67.71	
1494b	3.03	1.89	0.026	2.924	996.21	6.89	
1494c	0.73	0.94	0.019	2.224	660.78	31.05	
1495a	0.51	0.83	0.624	2.048	565.47	-40.07	
1495b	0.17	0.60	0.020	0.085	4.77	32.28	
1496a	1.24	1.04	0.019	0.013	0.32	33.72	
1497a	0.99	1.03	0.136	2.286	772.40	-5.40	
1498a	1.10	1.01	0.018	0.017	0.52	85.27	
1498b	2.91	1.60	0.060	1.798	541.98	-43.56	
1498c	1.78	1.18	0.018	0.307	38.28	-12.16	
1498d	2.36	1.30	0.166	2.451	862.53	-59.44	
1499a	1.75	1.16	0.041	0.385	48.28	-2.12	
1500a	2.60	1.31	0.013	0.559	87.49	69.61	
1500b	0.91	0.98	0.342	0.078	4.59	-3.69	
1500c	1.97	1.18	0.137	1.684	457.25	-13.49	
1501a	0.96	0.96	0.108	0.225	20.94	76.42	
1502a	2.64	1.63	0.072	0.016	0.46	-83.49	
1502b	1.64	1.13	0.048	2.823	1072.94	-14.18	
1502c	2.07	1.46	0.023	0.026	0.96	-12.02	
1503a	2.52	1.44	0.037	0.479	73.74	54.57	
1504a	2.40	1.59	0.301	2.318	719.88	-10.39	
1504b	2.36	1.59	0.703	1.111	238.84	-19.86	
1504c	0.56	0.86	0.072	0.136	10.19	-7.57	
1504d	0.77	0.92	0.065	0.064	3.29	-34.77	
1505a	3.07	1.51	0.012	0.515	73.62	51.65	
1505b	1.95	1.22	0.228	0.034	1.24	30.05	
1505c	0.88	0.98	0.523	0.020	0.54	38.38	
1505d	0.59	0.87	0.039	2.913	990.54	50.13	
1506a	0.63	0.88	0.159	0.150	11.83	-87.11	
1507a	0.59	0.89	0.270	0.253	26.18	-67.08	
1508a	2.13	1.11	0.071	0.795	151.41	14.74	
1508b	2.47	1.66	0.016	0.497	74.89	37.80	
1509a	1.97	1.19	0.037	0.193	19.99	85.77	
1509b	0.88	0.99	0.860	0.163	15.49	73.62	
1509c	0.53	0.86	0.025	0.010	0.23	-58.34	
1509d	0.23	0.66	0.042	0.030	1.23	88.84	
1510a	2.33	1.15	0.313	2.819	1064.31	-35.05	
1510b	2.76	1.31	0.602	0.094	6.51	78.95	
1511a	3.05	1.40	0.037	0.672	116.54	-28.97	
1512a	2.01	1.16	0.204	2.849	949.07	-24.44	
1513a	1.21	1.06	0.126	2.938	928.38	61.33	
1513b	0.49	0.80	0.492	2.650	794.95	29.63	
1513c	2.50	1.18	0.119	0.892	155.22	-9.79	
1513d	3.01	1.87	0.510	0.071	3.51	55.17	
1514a	0.29	0.69	0.186	0.218	21.92	0.54	
1514b	2.41	1.27	0.123	2.398	797.97	-17.06	
1515a	0.74	0.90	0.036	0.336	36.21	-0.05	
1515b	0.40	0.75	0.032	0.121	7.78	85.63	
1515c	2.31	1.20	0.028	0.161	12.05	-88.83	
1516a	1.35	1.08	0.487	1.416	352.60	37.70	
1517a	2.27	1.56	0.034	0.015	0.37	-74.29	
1518a	2.64	1.39	0.069	2.066	594.46	-80.33	
1519a	2.12	1.29	0.022	0.326	39.35	67.22	
1520a	0.20	0.65	0.139	0.008	0.13	-8.63	
1521a	0.03	0.35	0.042	0.427	65.22	-81.14	
1522a	0.45	0.82	0.627	0.008	0.16	-55.42	
1523a	1.85	1.17	0.020	2.449	912.21	0.48	
1524a	1.20	1.03	0.200	0.564	71.97	-77.35	
1525a	1.44	1.11	0.046	2.935	979.34	-43.47	
1525b	0.20	0.64	0.022	0.568	83.43	68.96	
1525c	0.53	0.84	0.059	0.012	0.25	45.91	
1526a	0.38	0.79	0.835	2.919	1942.55	-27.62	
1526b	1.90	1.18	0.047	1.840	971.79	-78.13	
1526c	0.38	0.76	0.408	1.806	945.42	4.57	
1526d	1.70	1.13	0.012	0.075	8.06	-39.91	
1527a	1.43	1.06	0.094	0.041	1.75	-26.62	
1528a	2.33	1.34	0.079	0.288	30.40	29.16	
1528b	2.94	1.54	0.037	0.725	121.34	84.30	
1528c	1.46	1.13	0.055	2.901	971.04	40.94	
1528d	0.51	0.84	0.622	1.506	363.21	-22.55	
1529a	0.32	0.71	0.299	0.013	0.30	3.15	
1530a	1.71	1.16	0.013	0.124	7.47	-62.97	
1531a	1.70	1.19	0.029	0.019	0.54	-59.93	
1532a	1.33	1.12	0.016	2.741	954.29	67.91	
1533a	1.10	1.00	0.299	0.151	11.09	12.70	
1534a	2.09	1.30	0.014	2.935	983.41	53.64	
1534b	0.32	0.74	0.020	0.711	117.17	17.06	
1535a	2.01	1.05	0.046	0.147	11.04	23.05	
1536a	2.63	1.41	0.114	2.240	635.95	-35.63	
1536b	3.03	1.62	0.953	2.771	874.84	-25.20	
1536c	0.50	0.80	0.383	2.045	554.87	-65.00	
1536d	0.73	0.92	0.016	0.026	0.79	-73.27	
1537a	2.90	1.35	0.014	2.218	756.11	-31.57	
1538a	0.69	0.91	0.200	0.361	43.37	51.03	
1538b	1.02	0.97	0.379	2.463	773.48	-76.42	
1538c	0.36	0.73	0.192	0.008	0.14	-89.25	
1538d	0.93	0.95	0.693	2.933	1005.49	47.90	
1539a	1.49	1.15	0.047	2.490	883.44	-21.87	
1540a	0.29	0.69	0.020	0.105	7.24	-82.88	
1541a	0.76	0.95	0.051	0.338	36.22	-9.67	
1542a	1.34	1.05	0.048	1.448	346.95	65.10	
1543a	0.21	0.67	0.279	0.007	0.12	-22.04	
1543b	2.94	1.57	0.900	1.629	430.50	-37.89	
1544a	2.91	1.81	0.753	0.025	0.87	63.05	
1544b	0.96	0.98	0.047	0.949	206.64	-46.38	
1544c	1.54	1.15	0.043	0.019	0.58	-50.07	
1544d	0.24	0.67	0.214	0.135	11.04	14.31	
1545a	0.31	0.69	0.451	2.453	853.85	-7.26	
1546a	2.87	1.74	0.221	0.017	0.43	-70.23	
1547a	0.41	0.80	0.053	0.011	0.21	-23.46	
1548a	0.30	0.72	0.049	0.008	0.14	-27.87	
1548b	2.75	1.74	0.880	1.968	517.26	7.37	
1548c	2.93	1.60	0.197	0.018	0.45	31.72	
1549a	1.71	1.19	0.991	0.499	80.60	-88.32	
1550a	2.11	1.42	0.077	2.115	683.74	5.81	
1551a	0.66	0.92	0.564	0.369	48.66	-8.40	
1552a	2.25	1.37	0.364	1.240	266.66	51.33	
1553a	0.44	0.80	0.736	0.364	52.28	38.69	
1553b	0.19	0.64	0.310	0.079	5.32	0.37	
1553c	0.68	0.87	0.793	0.043	2.10	-88.06	
1554a	2.70	1.50	0.011	0.015	0.34	-47.58	
1555a	0.99	1.02	0.025	2.873	1143.50	-3.65	
1555b	1.88	1.22	0.107	0.615	113.13	-34.09	
1556a	0.17	0.61	0.309	0.013	0.35	-40.44	
1556b	1.56	1.17	0.362	0.102	7.69	0.50	
1556c	1.52	1.15	0.029	0.470	75.57	42.58	
1557a	2.39	1.59	0.555	2.487	847.14	-8.50	
1558a	0.19	0.64	0.173	0.007	0.12	-81.36	
1559a	1.21	1.04	0.594	0.630	105.17	-5.32	
1560a	3.05	1.49	0.028	0.407	51.49	-55.52	
1561a	1.31	1.11	0.048	0.012	0.32	-46.43	
1562a	0.66	0.86	0.022	0.341	40.30	55.29	
1563a	0.40	0.76	0.733	0.364	41.17	-21.56	
1564a	3.07	1.57	0.110	0.016	0.38	-11.97	
1565a	1.74	1.20	0.032	2.356	627.42	84.77	
1566a	2.76	1.42	0.011	0.016	0.42	-16.32	
1567a	1.42	1.09	0.026	0.838	147.43	-12.69	
1567b	0.85	0.93	0.088	2.952	974.42	-74.83	
1567c	0.90	0.99	0.014	0.017	0.43	-48.69	
1568a	0.36	0.75	0.677	0.020	0.52	6.47	
1569a	1.49	1.16	0.366	1.355	283.93	31.38	
1569b	0.38	0.74	0.034	0.127	8.15	31.34	
1569c	0.59	0.86	0.649	0.019	0.46	82.88	
1569d	1.16	1.02	0.040	2.952	913.15	25.04	
1570a	2.63	1.23	0.767	0.027	0.94	34.82	
1571a	0.75	0.92	0.124	0.019	0.74	3.27	
1571b	1.04	1.03	0.104	0.021	0.86	-19.54	
1571c	2.01	1.31	0.041	0.725	179.74	-86.59	
1571d	0.87	0.98	0.535	2.907	1444.39	-40.24	
1572a	1.52	1.10	0.023	1.042	223.56	-42.16	
1573a	1.18	1.05	0.013	1.213	223.92	7.42	
1574a	0.59	0.83	0.020	0.566	93.99	87.35	
1575a	1.22	1.06	0.160	0.610	132.44	27.28	
1576a	1.00	1.02	0.035	2.751	935.60	-44.15	
1577a	0.34	0.73	0.024	0.479	69.79	36.24	
1578a	2.81	1.43	0.173	0.035	1.40	-5.78	
1579a	0.34	0.75	0.057	1.340	393.68	-49.92	
1580a	2.87	1.55	0.369	0.025	0.81	-63.15	
1581a	3.01	1.44	0.121	0.883	161.51	-88.91	
1582a	2.02	1.06	0.274	2.855	907.51	-60.54	
1583a	0.84	0.97	0.022	0.170	15.03	27.12	
1583b	2.84	1.73	0.013	1.359	340.21	-34.01	
1583c	2.61	1.26	0.162	0.685	121.74	-2.22	
1583d	1.88	1.22	0.396	0.013	0.31	-49.20	
1583e	2.27	1.26	0.058	2.950	1088.62	71.34	
1584a	2.10	1.14	0.319	0.186	17.52	23.11	
1585a	1.88	1.22	0.125	0.022	0.65	-17.72	
1586a	1.73	1.13	0.304	0.896	172.97	-60.91	
1587a	2.39	1.51	0.208	0.091	5.74	81.58	
1588a	2.61	1.63	0.401	0.018	0.49	-3.07	
1588b	1.76	1.19	0.906	0.043	1.72	48.34	
1589a	2.73	1.30	0.038	0.090	5.26	-75.33	
1590a	1.96	1.25	0.019	1.213	261.22	88.00	
1591a	1.33	1.06	0.065	2.936	984.08	-11.47	
1591b	2.60	1.22	0.474	0.014	0.33	34.65	
1591c	1.01	1.03	0.011	0.011	0.24	15.01	
1592a	2.95	1.48	0.976	0.035	1.22	8.69	
1592b	0.98	1.00	0.103	1.524	344.19	-24.36	
1593a	1.87	1.19	0.307	2.910	966.62	53.34	
1593b	1.93	1.19	0.022	0.013	0.28	45.86	
1593c	1.39	1.06	0.057	2.763	894.48	32.52	
1594a	2.83	1.69	0.047	0.023	0.70	-87.20	
1595a	2.37	1.32	0.035	0.037	1.54	-48.78	
1595b	2.35	1.53	0.043	0.264	29.77	3.34	
1595c	2.31	1.38	0.011	0.030	1.15	39.83	
1596a	1.85	1.22	0.038	0.265	29.93	-5.49	
1597a	2.40	1.28	0.098	2.954	1090.71	29.18	
1597b	1.13	1.05	0.034	1.128	257.48	-17.16	
1598a	2.69	1.39	0.288	0.376	50.40	-3.64	
1599a	1.82	1.20	0.278	2.914	1014.96	7.89	
1599b	2.11	1.21	0.076	0.037	1.43	47.52	
1600a	0.75	0.89	0.018	0.012	0.56	-56.16	
1601a	1.25	1.08	0.071	0.142	23.69	-81.58	
1602a	0.57	0.83	0.041	0.035	2.35	15.69	
1602b	0.36	0.76	0.250	0.331	68.73	-11.04	
1602c	1.25	1.08	0.380	1.219	485.88	-81.67	
1602d	1.17	1.06	0.043	2.953	1831.41	41.35	
1603a	1.56	1.12	0.234	0.012	0.37	-31.33	
1604a	0.08	0.50	0.174	2.424	891.87	-72.99	
1604b	0.63	0.86	0.050	0.044	2.22	57.76	
1605a	1.13	1.06	0.499	0.014	0.40	71.35	
1606a	0.22	0.66	0.017	2.413	885.99	22.74	
1607a	0.75	0.89	0.029	0.252	29.99	-54.36	
1607b	1.50	1.09	0.893	0.824	176.78	75.32	
1607c	1.72	1.21	0.017	2.818	1118.47	-58.53	
1607d	0.95	1.01	0.019	0.015	0.45	55.75	
1608a	0.64	0.90	0.362	1.382	361.11	-46.27	
1608b	0.44	0.82	0.421	0.608	105.23	42.31	
1608c	2.02	1.18	0.107	0.015	0.41	-41.13	
1609a	0.22	0.67	0.020	0.016	0.45	-33.11	
1609b	2.86	1.61	0.248	1.847	557.66	-64.76	
1610a	2.81	1.52	0.020	0.241	26.27	-51.95	
1611a	1.61	1.10	0.016	0.012	0.30	30.13	
1612a	0.84	0.97	0.046	0.875	181.91	-26.63	
1612b	1.12	1.00	0.082	0.024	0.83	58.69	
1613a	2.91	1.62	0.201	1.019	196.72	36.56	
1614a	1.90	1.15	0.119	1.584	442.98	-81.24	
1615a	2.40	1.38	0.030	0.361	48.12	38.46	
1616a	0.73	0.90	0.015	1.875	570.61	65.35	
1616b	2.10	1.21	0.032	0.016	0.44	27.17	
1616c	0.45	0.82	0.019	0.609	105.53	-60.77	
1617a	1.81	1.21	0.019	0.041	1.83	23.40	
1617b	1.09	1.01	0.204	1.487	402.81	-84.46	
1617c	2.32	1.19	0.015	0.012	0.29	79.85	
1618a	0.44	0.77	0.013	2.664	1014.69	5.47	
1619a	0.46	0.82	0.051	0.221	21.04	-62.59	
1620a	2.85	1.44	0.079	0.050	2.28	58.19	
1621a	0.63	0.86	0.622	0.046	2.09	4.69	
1622a	0.51	0.84	0.538	0.431	60.46	14.28	
1623a	0.94	1.00	0.240	0.010	0.22	-47.78	
1624a	1.52	1.09	0.083	0.020	0.61	-10.47	
1624b	0.29	0.68	0.051	0.084	5.07	5.96	
1624c	2.93	1.47	0.408	2.090	631.76	-4.59	
1625a	1.06	1.00	0.582	2.428	790.69	-42.34	
1626a	3.02	1.43	0.476	1.887	582.76	81.56	
1626b	2.18	1.22	0.856	1.639	471.71	28.51	
1626c	0.44	0.81	0.747	2.003	637.57	85.32	
1626d	2.05	1.09	0.012	2.508	893.27	-82.93	
1627a	1.38	1.14	0.014	1.907	508.26	61.52	
1628a	2.55	1.43	0.033	0.055	2.52	7.89	
1629a	0.91	0.96	0.021	1.888	601.29	14.36	
1629b	1.38	1.12	0.021	0.423	63.69	-67.00	
1630a	1.86	1.20	0.789	0.025	0.92	-52.82	
1631a	0.30	0.74	0.017	0.016	0.58	-68.09	
1632a	0.47	0.81	0.037	0.009	0.20	-22.51	
1633a	1.95	1.23	0.011	0.503	82.68	-49.17	
1634a	1.21	1.05	0.262	2.482	906.75	-15.63	
1635a	3.02	1.70	0.075	0.019	0.54	-16.46	
1636a	1.48	1.11	0.813	0.067	3.72	75.18	
1637a	2.54	1.47	0.865	0.829	160.88	-12.71	
1637b	2.30	1.28	0.053	0.014	0.34	-4.56	
1637c	1.02	1.03	0.880	2.259	723.41	57.43	
1637d	1.99	1.20	0.026	1.500	391.43	38.62	
1638a	1.05	1.03	0.103	0.098	6.88	-77.60	
1639a	2.98	1.68	0.571	2.567	924.61	-36.44	
1640a	0.81	0.93	0.246	0.032	1.30	-79.86	
1641a	2.01	1.09	0.164	1.921	594.98	-85.29	
1642a	1.26	1.06	0.032	0.115	8.75	-18.59	
1642b	1.94	1.25	0.393	0.034	1.41	82.63	
1643a	0.62	0.90	0.022	2.910	1060.56	-65.74	
1644a	0.64	0.91	0.034	1.816	522.88	-30.36	
1645a	0.81	0.97	0.522	0.011	0.26	28.71	
1646a	1.32	1.10	0.416	0.015	0.41	3.75	
1646b	1.97	1.21	0.021	0.479	71.58	12.98	
1646c	0.86	0.95	0.081	0.025	0.86	48.86	
1646d	1.72	1.18	0.182	2.954	1095.58	-85.50	
1647a	0.92	0.98	0.967	0.051	2.50	-46.13	
1648a	1.39	1.08	0.012	0.291	33.90	-47.26	
1649a	2.11	1.11	0.555	1.244	299.41	50.40	
1650a	1.10	1.00	0.226	0.209	20.65	-87.73	
1651a	0.45	0.79	0.049	0.017	0.48	7.80	
1652a	1.76	1.20	0.843	1.718	428.89	-73.70	
1653a	2.69	1.27	0.012	2.524	834.85	40.48	
1654a	0.95	0.95	0.165	2.841	996.58	-62.98	
1655a	2.27	1.43	0.609	0.068	3.68	26.20	
1656a	2.05	1.39	0.273	1.174	267.68	72.19	
1656b	1.22	1.02	0.315	0.029	1.05	44.13	
1656c	1.29	1.07	0.106	1.542	402.79	-13.99	
1656d	1.06	0.98	0.014	1.062	230.11	25.22	
1657a	2.62	1.63	0.107	0.037	1.52	-35.76	
1658a	1.72	1.14	0.020	2.894	1046.26	-49.08	
1659a	2.91	1.69	0.021	0.016	0.44	-3.53	
1660a	2.03	1.10	0.573	0.330	33.73	57.64	
1660b	2.59	1.34	0.034	0.041	1.49	67.31	
1660c	1.42	1.06	0.221	0.017	0.38	-14.72	
1660d	2.23	1.20	0.215	2.020	511.04	82.36	
1661a	0.39	0.77	0.013	0.484	70.44	2.84	
1662a	0.37	0.74	0.676	0.405	53.85	24.92	
1663a	1.63	1.14	0.391	2.858	1026.91	-86.96	
1663b	3.00	1.67	0.026	0.566	90.56	-13.59	
1663c	0.31	0.70	0.265	2.949	1076.29	82.70	
1663d	2.43	1.56	0.022	1.773	501.76	-52.83	
1664a	0.72	0.93	0.045	1.038	224.69	-42.61	
1665a	1.11	1.03	0.417	0.195	20.18	-29.91	
1666a	2.90	1.80	0.808	2.959	1064.76	-14.34	
1666b	1.02	1.04	0.042	1.023	216.40	89.72	
1667a	1.54	1.11	0.184	0.158	15.32	-44.61	
1668a	1.43	1.14	0.263	0.011	0.29	-51.32	
1669a	0.40	0.77	0.379	0.874	181.71	8.69	
1669b	2.81	1.67	0.526	2.567	914.15	-49.01	
1669c	2.27	1.45	0.032	0.212	21.75	62.25	
1669d	1.61	1.17	0.019	0.017	0.50	55.34	
1670a	0.69	0.89	0.012	0.009	0.19	-8.40	
1671a	0.64	0.89	0.697	1.688	487.31	-37.47	
1671b	2.95	1.53	0.079	2.491	873.86	-73.75	
1671c	2.29	1.56	0.241	0.412	58.76	23.73	
1671d	3.09	1.81	0.102	1.004	223.68	48.46	
1672a	0.61	0.85	0.105	2.712	1208.56	26.08	
1672b	0.77	0.90	0.021	0.536	106.28	-64.37	
1672c	1.32	1.10	0.052	0.287	41.66	-42.19	
1673a	0.99	0.98	0.019	1.561	527.55	1.09	
1674a	1.17	1.05	0.055	0.020	0.79	38.79	
1675a	0.55	0.85	0.198	0.134	13.15	59.25	
1675b	1.34	1.08	0.556	0.204	24.78	-10.29	
1676a	0.47	0.81	0.046	0.338	52.80	80.09	
1676b	1.98	1.19	0.028	2.841	1284.87	-63.87	
1676c	0.01	0.29	0.028	2.939	1351.94	-42.39	
1677a	0.56	0.87	0.896	1.144	328.08	0.88	
1678a	1.03	0.98	0.043	1.352	433.07	-32.40	
1678b	1.46	1.13	0.162	2.916	1370.89	-34.63	
1678c	1.50	1.12	0.081	1.119	326.14	67.20	
1679a	1.63	1.12	0.379	0.899	234.88	-16.86	
1679b	0.30	0.73	0.472	1.699	609.66	-18.21	
1679c	0.34	0.74	0.021	0.692	158.65	-19.37	
1679d	1.56	1.16	0.116	1.908	725.74	50.82	
1679e	0.24	0.69	0.012	2.740	1248.78	-36.23	
1680a	1.90	1.18	0.026	2.431	933.65	7.98	
1680b	0.08	0.48	0.044	0.014	0.41	68.54	
1681a	1.43	1.08	0.098	0.089	6.50	-12.43	
1681b	1.50	1.16	0.047	0.095	7.24	32.53	
1681c	0.50	0.83	0.234	0.213	24.27	-6.95	
1681d	1.80	1.17	0.215	0.012	0.33	15.21	
1682a	0.25	0.70	0.167	0.761	114.34	-87.33	
1683a	2.23	1.09	0.068	0.651	90.58	-81.76	
1684a	1.53	1.08	0.011	0.255	22.15	11.87	
1685a	0.93	0.97	0.017	0.494	59.88	-2.06	
1686a	1.01	0.98	0.017	0.590	78.12	22.26	
1686b	1.73	1.17	0.341	0.016	0.35	46.27	
1687a	1.42	1.13	0.364	0.041	2.00	53.85	
1688a	1.14	1.04	0.108	2.130	744.76	63.00	
1689a	1.56	1.17	0.028	1.456	383.92	48.25	
1690a	2.97	1.74	0.133	1.489	396.93	29.77	
1691a	0.25	0.66	0.292	0.654	121.98	44.72	
1692a	1.42	1.15	0.556	0.095	6.76	-1.49	
1693a	0.85	0.97	0.084	0.282	34.47	-37.66	
1694a	1.43	1.11	0.554	0.014	0.37	-78.58	
1695a	1.85	1.23	0.912	1.252	311.13	-24.96	
1696a	0.96	1.02	0.093	2.640	953.29	76.47	
1697a	1.51	1.08	0.316	0.011	0.24	-0.21	
1698a	1.92	1.17	0.055	2.807	1030.70	48.77	
1698b	1.65	1.13	0.186	2.864	1062.16	-70.19	
1699a	0.64	0.86	0.204	2.415	822.51	47.13	
1700a	1.62	1.19	0.169	0.128	8.55	21.23	
1701a	1.85	1.17	0.019	0.018	0.45	40.23	
1702a	2.72	1.29	0.061	0.578	82.06	6.60	
1703a	1.72	1.18	0.217	0.011	0.27	88.66	
1704a	1.77	1.14	0.052	0.012	0.30	-51.73	
1704b	0.17	0.62	0.015	2.606	969.41	40.81	
1704c	1.80	1.18	0.059	1.760	538.16	-2.91	
1705a	0.29	0.71	0.012	0.009	0.20	-72.55	
1706a	1.78	1.17	0.288	0.728	134.30	-12.74	
1707a	1.01	1.03	0.038	2.837	1365.53	66.45	
1708a	1.38	1.10	0.142	0.112	7.81	-78.42	
1709a	0.91	0.99	0.544	0.569	89.82	-3.60	
1710a	1.16	1.00	0.059	1.131	251.52	32.42	
1711a	2.84	1.72	0.015	0.017	0.46	-29.80	
1711b	2.15	1.15	0.761	0.236	23.40	75.03	
1712a	0.74	0.93	0.135	0.009	0.18	-13.23	
1713a	1.58	1.12	0.074	2.134	636.05	-39.22	
1713b	2.35	1.47	0.050	0.655	108.06	-19.39	
1713c	2.69	1.66	0.112	0.016	0.42	74.09	
1713d	0.26	0.68	0.059	1.707	455.18	23.20	
1714a	0.33	0.75	0.022	0.054	2.57	81.87	
1714b	1.84	1.19	0.148	2.720	915.54	25.03	
1714c	2.65	1.31	0.041	0.013	0.31	-29.16	
1714d	1.13	1.04	0.723	0.487	69.36	-27.13	
1715a	0.42	0.76	0.188	2.547	936.29	8.76	
1715b	0.85	0.94	0.580	2.563	945.53	-16.21	
1715c	0.28	0.71	0.641	0.008	0.18	0.03	
1716a	1.07	1.03	0.117	1.543	441.49	-33.09	
1717a	0.82	0.92	0.163	0.848	199.76	3.82	
1718a	0.60	0.84	0.873	0.008	0.17	-35.12	
1719a	2.11	1.28	0.423	0.017	0.47	61.68	
1719b	1.02	0.98	0.018	1.439	379.28	-23.16	
1719c	0.98	0.96	0.015	0.715	132.73	-70.91	
1719d	3.08	1.83	0.671	2.960	1118.44	13.89	
1720a	2.75	1.31	0.185	0.751	143.66	65.72	
1721a	2.77	1.60	0.178	0.016	0.45	86.30	
1722a	0.96	0.99	0.017	0.062	2.74	58.06	
1723a	2.54	1.32	0.830	0.015	0.37	86.48	
1723b	1.06	1.05	0.018	2.505	805.25	86.95	
1724a	2.74	1.52	0.108	0.940	188.90	-9.96	
1725a	1.68	1.14	0.018	1.022	214.02	-64.42	
1725b	2.53	1.36	0.306	0.095	6.02	-68.94	
1726a	1.28	1.10	0.064	0.025	1.07	38.28	
1727a	1.29	1.07	0.012	2.949	1394.69	59.39	
1727b	0.27	0.69	0.011	1.114	323.85	-68.78	
1727c	1.50	1.16	0.548	0.280	40.83	-24.31	
1727d	1.26	1.03	0.990	0.010	0.28	-36.38	
1728a	1.98	1.25	0.598	0.261	36.75	11.16	
1728b	0.72	0.94	0.682	0.889	230.83	40.75	
1729a	1.64	1.16	0.156	0.112	7.81	59.60	
1730a	0.34	0.73	0.024	0.031	1.11	-21.65	
1731a	0.61	0.86	0.014	0.392	62.73	81.69	
1731b	0.50	0.81	0.018	0.138	13.10	44.53	
1731c	0.86	0.98	0.015	0.718	155.61	80.12	
1731d	0.10	0.54	0.024	0.381	60.15	85.11	
1732a	0.42	0.77	0.092	1.333	393.51	-76.95	
1732b	0.37	0.75	0.134	1.449	445.73	-4.04	
1732c	1.63	1.14	0.090	0.589	115.43	12.44	
1732d	0.89	0.93	0.161	0.077	5.43	51.87	
1733a	0.34	0.74	0.229	1.906	610.29	24.06	
1734a	1.20	1.02	0.053	2.951	937.97	-31.53	
1735a	0.14	0.57	0.073	2.858	894.12	-42.52	
1735b	2.93	1.65	0.022	0.690	105.99	-60.86	
1736a	2.60	1.70	0.083	2.542	750.21	31.48	
1737a	1.80	1.14	0.210	1.067	231.91	17.02	
1738a	1.63	1.15	0.011	2.910	1044.28	-87.40	
1739a	1.64	1.17	0.435	0.081	4.83	89.16	
1740a	0.90	0.98	0.012	2.934	949.25	84.41	
1741a	2.28	1.16	0.017	0.026	0.78	61.56	
1742a	0.63	0.89	0.036	0.021	0.74	83.54	
1743a	0.91	0.99	0.015	2.815	1123.91	31.36	
1744a	2.20	1.42	0.529	0.378	50.12	-13.60	
1745a	1.71	1.20	0.025	0.106	7.21	17.97	
1746a	0.89	0.99	0.217	0.049	2.29	38.21	
1747a	2.61	1.41	0.097	0.224	20.99	62.65	
1747b	1.87	1.23	0.295	2.502	781.30	19.91	
1747c	3.03	1.54	0.033	0.016	0.40	-77.55	
1748a	2.52	1.43	0.425	1.885	578.34	24.78	
1749a	2.65	1.73	0.033	0.469	71.74	59.86	
1749b	0.92	0.99	0.067	0.027	1.00	49.42	
1750a	0.34	0.72	0.113	0.282	32.66	-55.68	
1751a	0.53	0.83	0.876	1.375	319.73	-76.14	
1752a	1.63	1.17	0.918	0.140	10.39	51.36	
1752b	0.90	0.97	0.025	0.803	142.74	-44.73	
1752c	0.19	0.62	0.208	0.234	22.50	56.79	
1752d	3.00	1.45	0.988	0.023	0.69	-88.62	
1753a	3.09	1.43	0.580	2.892	975.06	-50.23	
1753b	2.35	1.56	0.362	1.887	514.07	31.53	
1753c	0.26	0.70	0.049	0.007	0.13	-63.26	
1754a	0.42	0.81	0.764	0.276	29.86	25.29	
