ID	Mass	[Fe/H]	Radius	Type	Teff	Tms	Nplan	
0	1.0	1.0	1.0	G	5700	10	5	
1093	0.98	0.00	0.99	G	5586	10.625	1
1094	0.78	0.06	0.90	K	4446	21.073	2
1095	0.93	0.03	0.97	G	5301	12.432	1
1096	0.94	-0.27	0.97	G	5358	12.040	1
1097	1.17	0.07	1.07	F	6646	6.308	1
1098	0.74	0.04	0.88	K	4218	24.678	1
1099	1.15	0.03	1.06	F	6554	6.575	1
1100	1.03	0.06	1.01	G	5871	9.151	1
1101	0.64	0.01	0.83	K	3648	38.147	1
1102	1.03	0.06	1.01	G	5871	9.151	1
1103	0.84	-0.04	0.93	G	4788	16.872	1
1104	0.80	0.07	0.91	K	4560	19.531	1
1105	1.06	0.05	1.03	F	6042	8.396	1
1106	0.80	-0.03	0.91	K	4560	19.531	1
1107	1.23	0.12	1.09	F	7011	5.374	1
1108	0.94	0.04	0.97	G	5358	12.040	1
1109	0.96	-0.08	0.98	G	5472	11.303	1
1110	1.10	0.03	1.04	F	6270	7.513	1
1111	1.14	0.13	1.06	F	6497	6.750	1
1112	0.85	0.05	0.93	G	4845	16.283	1
1113	0.95	0.01	0.98	G	5415	11.664	1
1114	0.99	0.03	1.00	G	5643	10.306	2
1115	1.06	0.07	1.03	F	6042	8.396	3
1116	1.06	-0.02	1.03	F	6042	8.396	2
1117	1.25	0.05	1.10	F	7125	5.120	2
1118	0.99	-0.20	1.00	G	5643	10.306	1
1119	1.00	-0.04	1.00	G	5700	10.000	1
1120	0.87	0.09	0.94	G	4959	15.186	1
1121	0.84	-0.04	0.93	G	4788	16.872	1
1122	0.80	0.04	0.91	K	4560	19.531	3
1123	1.18	0.14	1.07	F	6726	6.086	1
1124	1.13	0.01	1.05	F	6440	6.931	4
1125	1.02	-0.08	1.01	G	5814	9.423	2
1126	0.97	-0.04	0.99	G	5529	10.957	3
1127	0.78	-0.18	0.90	K	4446	21.073	1
1128	0.54	-0.06	0.77	K	3078	63.507	3
1129	1.03	-0.20	1.01	G	5871	9.151	4
1130	1.06	0.01	1.03	F	6042	8.396	1
1131	1.01	0.06	1.00	G	5757	9.706	1
1132	0.92	0.06	0.96	G	5244	12.842	1
1133	1.16	0.02	1.07	F	6611	6.407	1
1134	0.80	0.01	0.91	K	4560	19.531	3
1135	0.93	0.01	0.97	G	5301	12.432	3
1136	0.86	-0.09	0.94	G	4902	15.722	1
1137	0.94	0.12	0.97	G	5358	12.040	2
1138	1.30	0.05	1.12	F	7410	4.552	1
1139	1.40	0.22	1.16	F	7979	3.644	4
1140	0.98	0.04	0.99	G	5586	10.625	3
1141	0.84	-0.09	0.93	G	4788	16.872	3
1142	0.77	-0.05	0.89	K	4389	21.904	1
1143	0.96	0.01	0.98	G	5472	11.303	5
1144	1.46	0.05	1.18	A	8322	3.213	4
1145	0.86	-0.01	0.94	G	4902	15.722	2
1146	0.86	-0.01	0.94	G	4902	15.722	2
1147	0.73	-0.03	0.87	K	4161	25.706	2
1148	0.86	-0.05	0.94	G	4902	15.722	1
1149	1.21	0.24	1.09	F	6897	5.645	1
1150	1.19	0.06	1.08	F	6783	5.934	1
1151	0.55	0.13	0.77	K	3135	60.105	2
1152	0.55	0.13	0.77	K	3135	60.105	2
1153	0.99	0.04	1.00	G	5643	10.306	5
1154	0.92	-0.04	0.96	G	5244	12.842	2
1155	1.06	0.03	1.03	F	6042	8.396	1
1156	0.97	-0.14	0.99	G	5529	10.957	1
1157	0.78	-0.10	0.90	K	4446	21.073	1
1158	0.78	-0.10	0.90	K	4446	21.073	2
1159	0.78	-0.10	0.90	K	4446	21.073	1
1160	1.08	0.02	1.03	F	6156	7.938	1
1161	1.17	0.05	1.07	F	6669	6.244	1
1162	0.90	-0.09	0.96	G	5130	13.717	4
1163	0.99	-0.07	1.00	G	5643	10.306	1
1164	0.80	-0.07	0.91	K	4560	19.531	4
1165	1.06	0.01	1.03	F	6042	8.396	1
1166	0.82	0.03	0.92	G	4674	18.137	1
1167	0.99	-0.02	1.00	G	5643	10.306	2
1168	0.84	-0.03	0.93	G	4788	16.872	1
1169	0.99	-0.02	1.00	G	5643	10.306	4
1170	0.71	-0.10	0.86	K	4047	27.940	4
1171	0.80	-0.07	0.91	K	4560	19.531	1
1172	1.15	0.07	1.06	F	6554	6.575	1
1173	1.06	0.05	1.03	F	6042	8.396	1
1174	1.10	0.07	1.04	F	6270	7.513	1
1175	1.28	-0.02	1.11	F	7296	4.768	1
1176	1.13	-0.01	1.05	F	6440	6.931	1
1177	1.06	0.06	1.03	F	6042	8.396	1
1178	0.94	0.03	0.97	G	5358	12.040	1
1179	1.45	0.11	1.17	A	8265	3.280	1
1180	1.23	0.04	1.09	F	7011	5.374	1
1181	1.14	-0.02	1.06	F	6497	6.750	1
1182	0.94	-0.01	0.97	G	5358	12.040	1
1183	1.11	0.02	1.05	F	6327	7.312	1
1184	1.21	0.06	1.09	F	6897	5.645	1
1185	1.17	-0.05	1.07	F	6669	6.244	1
1186	1.17	-0.05	1.07	F	6669	6.244	1
1187	1.20	0.04	1.08	F	6840	5.787	1
1188	0.87	-0.04	0.94	G	4959	15.186	1
1189	0.92	0.01	0.96	G	5244	12.842	1
1190	1.16	0.04	1.07	F	6611	6.407	1
1191	0.84	0.03	0.93	G	4788	16.872	1
1192	1.20	0.16	1.08	F	6840	5.787	1
1193	1.00	0.03	1.00	G	5700	10.000	4
1194	0.96	-0.05	0.98	G	5472	11.303	1
1195	1.20	0.14	1.08	F	6840	5.787	1
1196	1.10	0.02	1.04	F	6270	7.513	3
1197	0.95	-0.02	0.98	G	5415	11.664	1
1198	0.84	-0.04	0.93	G	4788	16.872	1
1199	0.95	0.08	0.98	G	5415	11.664	2
1200	1.18	0.00	1.07	F	6726	6.086	4
1201	0.99	-0.03	1.00	G	5643	10.306	1
1202	0.92	0.04	0.96	G	5244	12.842	1
1203	0.87	-0.04	0.94	G	4959	15.186	1
1204	0.99	-0.04	1.00	G	5643	10.306	1
1205	1.45	0.13	1.17	A	8265	3.280	1
1206	0.94	-0.01	0.97	G	5358	12.040	1
1207	2.05	-0.14	1.36	A	11684	1.161	1
1208	1.00	0.02	1.00	G	5700	10.000	4
1209	1.00	0.02	1.00	G	5700	10.000	3
1210	1.00	0.02	1.00	G	5700	10.000	3
1211	1.29	0.05	1.12	F	7353	4.658	3
1212	0.85	0.01	0.93	G	4845	16.283	1
1213	0.86	0.04	0.94	G	4902	15.722	1
1214	1.01	0.04	1.00	G	5757	9.706	1
1215	0.85	-0.05	0.93	G	4845	16.283	1
1216	0.97	0.01	0.99	G	5529	10.957	1
1217	0.98	0.00	0.99	G	5586	10.625	1
1218	1.06	0.06	1.03	F	6042	8.396	1
1219	0.35	-0.13	0.64	M	1994	233.236	1
1220	0.85	-0.03	0.93	G	4845	16.283	1
1221	1.02	0.12	1.01	G	5814	9.423	3
1222	1.02	0.12	1.01	G	5814	9.423	1
1223	0.91	-0.07	0.96	G	5187	13.270	1
1224	1.05	0.09	1.02	F	5985	8.638	1
1225	1.05	0.09	1.02	F	5985	8.638	2
1226	0.99	-0.02	1.00	G	5643	10.306	2
1227	0.92	0.00	0.96	G	5244	12.842	1
1228	0.60	-0.22	0.80	K	3420	46.296	4
1229	0.80	0.07	0.91	K	4560	19.531	5
1230	1.04	0.03	1.02	G	5928	8.890	1
1231	0.83	-0.01	0.92	G	4731	17.489	1
1232	0.73	-0.01	0.87	K	4161	25.706	1
1233	0.56	-0.03	0.78	K	3174	57.867	1
1234	0.80	0.10	0.91	K	4560	19.531	2
1235	0.54	-0.45	0.77	K	3078	63.507	1
1236	0.90	-0.07	0.96	G	5130	13.717	1
1237	1.18	0.02	1.07	F	6726	6.086	1
1238	0.78	0.05	0.90	K	4446	21.073	1
1239	0.93	0.01	0.97	G	5301	12.432	1
1240	1.45	0.02	1.17	A	8265	3.280	3
1241	1.02	-0.03	1.01	G	5814	9.423	2
1242	1.00	0.00	1.00	G	5700	10.000	1
1243	0.72	0.02	0.87	K	4104	26.792	1
1244	0.97	0.08	0.99	G	5529	10.957	3
1245	0.72	0.05	0.87	K	4104	26.792	1
1246	0.95	0.00	0.98	G	5415	11.664	1
1247	0.94	-0.04	0.97	G	5358	12.040	1
1248	0.94	-0.03	0.97	G	5358	12.040	3
1249	0.77	-0.07	0.89	K	4389	21.904	1
1250	0.94	0.05	0.97	G	5358	12.040	1
1251	0.94	0.05	0.97	G	5358	12.040	1
1252	0.70	-0.09	0.86	K	3989	29.155	1
1253	1.04	0.00	1.02	G	5928	8.890	3
1254	0.94	0.01	0.97	G	5358	12.040	2
1255	1.27	0.07	1.11	F	7239	4.882	1
1256	0.79	0.19	0.90	K	4503	20.282	2
1257	0.93	0.03	0.97	G	5301	12.432	1
1258	0.95	-0.16	0.98	G	5415	11.664	1
1259	1.09	0.06	1.04	F	6213	7.722	1
1260	1.32	0.04	1.13	F	7524	4.348	4
1261	1.14	0.04	1.06	F	6497	6.750	1
1262	0.82	-0.11	0.92	G	4674	18.137	1
1263	1.04	-0.01	1.02	G	5928	8.890	1
1264	1.16	0.03	1.07	F	6611	6.407	1
1265	0.55	-0.06	0.77	K	3135	60.105	1
1266	0.55	-0.06	0.77	K	3135	60.105	2
1267	0.70	-0.03	0.86	K	3989	29.155	1
1268	1.11	0.00	1.05	F	6327	7.312	1
1269	0.76	-0.06	0.89	K	4332	22.780	1
1270	1.16	0.03	1.07	F	6611	6.407	1
1271	0.88	-0.04	0.95	G	5016	14.674	2
1272	0.82	-0.02	0.92	G	4674	18.137	1
1273	0.93	-0.06	0.97	G	5301	12.432	1
1274	0.82	-0.08	0.92	G	4674	18.137	1
1275	0.78	0.11	0.90	K	4446	21.073	1
1276	1.51	0.06	1.19	A	8607	2.904	1
1277	0.83	0.00	0.92	G	4731	17.489	1
1278	0.80	0.06	0.91	K	4560	19.531	4
1279	0.76	-0.09	0.89	K	4332	22.780	1
1280	1.49	0.04	1.19	A	8493	3.023	1
1281	1.00	0.03	1.00	G	5700	10.000	2
1282	1.00	0.03	1.00	G	5700	10.000	1
1283	0.62	-0.02	0.81	K	3534	41.959	2
1284	0.62	-0.06	0.81	K	3534	41.959	3
1285	1.07	0.10	1.03	F	6099	8.163	4
1286	0.99	0.00	1.00	G	5643	10.306	1
1287	1.19	0.05	1.08	F	6783	5.934	4
1288	1.19	0.05	1.08	F	6783	5.934	2
1289	0.87	-0.07	0.94	G	4959	15.186	1
1290	0.87	-0.07	0.94	G	4959	15.186	1
1291	0.98	0.05	0.99	G	5586	10.625	4
1292	1.22	0.03	1.09	F	6954	5.507	4
1293	0.85	-0.13	0.93	G	4845	16.283	1
1294	1.47	0.09	1.18	A	8379	3.148	1
1295	0.98	0.07	0.99	G	5586	10.625	2
1296	0.86	0.05	0.94	G	4902	15.722	3
1297	0.70	0.03	0.86	K	3989	29.155	4
1298	0.83	-0.04	0.92	G	4731	17.489	1
1299	0.96	0.10	0.98	G	5472	11.303	3
1300	0.96	-0.10	0.98	G	5472	11.303	1
1301	1.36	0.30	1.14	F	7752	3.975	1
1302	1.26	0.03	1.10	F	7182	4.999	1
1303	0.78	-0.06	0.90	K	4446	21.073	3
1304	1.15	0.41	1.06	F	6554	6.575	1
1305	1.02	0.11	1.01	G	5814	9.423	2
1306	0.82	0.02	0.92	G	4674	18.137	3
1307	0.63	0.02	0.82	K	3591	39.992	1
1308	0.63	0.02	0.82	K	3591	39.992	1
1309	0.63	0.02	0.82	K	3591	39.992	2
1310	0.63	0.02	0.82	K	3591	39.992	1
1311	0.81	-0.14	0.91	G	4617	18.817	1
1312	1.08	0.15	1.03	F	6156	7.938	1
1313	1.08	0.15	1.03	F	6156	7.938	1
1314	0.98	-0.01	0.99	G	5586	10.625	1
1315	1.03	0.04	1.01	G	5871	9.151	1
1316	0.88	-0.11	0.95	G	5016	14.674	1
1317	0.95	-0.09	0.98	G	5415	11.664	1
1318	1.64	0.06	1.24	A	9348	2.267	5
1319	1.17	0.12	1.07	F	6669	6.244	1
1320	1.18	0.04	1.07	F	6726	6.086	1
1321	1.09	0.00	1.04	F	6213	7.722	1
1322	1.13	0.01	1.05	F	6440	6.931	2
1323	1.13	0.01	1.05	F	6440	6.931	1
1324	0.97	-0.03	0.99	G	5529	10.957	3
1325	1.51	0.12	1.19	A	8618	2.893	1
1326	0.83	0.04	0.92	G	4731	17.489	4
1327	1.07	0.04	1.03	F	6099	8.163	1
1328	0.90	0.03	0.96	G	5130	13.717	1
1329	1.11	0.03	1.05	F	6327	7.312	1
1330	0.84	-0.09	0.93	G	4788	16.872	3
1331	1.05	0.03	1.02	F	5985	8.638	3
1332	1.05	0.04	1.02	F	5985	8.638	1
1333	1.10	0.05	1.04	F	6270	7.513	1
1334	1.21	0.00	1.09	F	6897	5.645	2
1335	0.83	-0.03	0.92	G	4731	17.489	1
1336	1.00	0.54	1.00	G	5700	10.000	3
1337	1.00	0.54	1.00	G	5700	10.000	3
1338	0.63	0.01	0.82	K	3591	39.992	1
1339	0.95	-0.04	0.98	G	5415	11.664	1
1340	1.06	0.04	1.03	F	6042	8.396	1
1341	0.84	-0.05	0.93	G	4788	16.872	1
1342	0.80	-0.02	0.91	K	4560	19.531	1
1343	0.89	0.12	0.95	G	5073	14.185	3
1344	1.09	0.03	1.04	F	6213	7.722	1
1345	1.02	0.02	1.01	G	5814	9.423	1
1346	0.77	0.00	0.89	K	4389	21.904	1
1347	1.01	0.04	1.00	G	5757	9.706	1
1348	0.99	-0.27	1.00	G	5643	10.306	4
1349	0.82	-0.10	0.92	G	4674	18.137	1
1350	1.25	0.05	1.10	F	7125	5.120	1
1351	1.15	0.00	1.06	F	6554	6.575	4
1352	0.79	-0.02	0.90	K	4503	20.282	1
1353	1.02	0.01	1.01	G	5814	9.423	1
1354	0.97	-0.03	0.99	G	5529	10.957	1
1355	1.02	0.03	1.01	G	5814	9.423	1
1356	1.01	0.06	1.00	G	5757	9.706	1
1357	1.28	0.35	1.11	F	7296	4.768	1
1358	1.05	0.04	1.02	F	5985	8.638	2
1359	0.77	-0.03	0.89	K	4389	21.904	1
1360	1.03	0.07	1.01	G	5871	9.151	1
1361	1.09	0.02	1.04	F	6213	7.722	3
1362	1.14	0.07	1.06	F	6497	6.750	1
1363	1.47	0.19	1.18	A	8379	3.148	1
1364	1.21	-0.03	1.09	F	6897	5.645	1
1365	1.06	-0.01	1.03	F	6042	8.396	1
1366	0.93	-0.02	0.97	G	5301	12.432	1
1367	0.97	0.20	0.99	G	5529	10.957	2
1368	0.46	-0.03	0.72	K	2622	102.737	3
1369	1.03	-0.33	1.01	G	5871	9.151	2
1370	0.98	0.04	0.99	G	5586	10.625	1
1371	1.00	0.01	1.00	G	5700	10.000	1
1372	1.34	0.26	1.13	F	7638	4.156	3
1373	1.19	0.00	1.08	F	6783	5.934	1
1374	1.03	0.06	1.01	G	5871	9.151	1
1375	1.13	-0.03	1.05	F	6440	6.931	3
1376	0.81	0.11	0.91	G	4617	18.817	1
1377	0.97	-0.03	0.99	G	5529	10.957	1
1378	0.95	-0.16	0.98	G	5415	11.664	1
1379	1.08	0.04	1.03	F	6156	7.938	1
1380	1.42	0.13	1.16	A	8082	3.507	1
1381	1.42	0.13	1.16	A	8082	3.507	1
1382	0.71	-0.02	0.86	K	4047	27.940	1
1383	1.00	0.01	1.00	G	5700	10.000	1
1384	1.41	0.14	1.16	A	8036	3.567	1
1385	0.97	0.01	0.99	G	5529	10.957	2
1386	0.90	-0.02	0.96	G	5130	13.717	1
1387	0.62	-0.02	0.81	K	3534	41.959	1
1388	0.64	-0.09	0.83	K	3648	38.147	2
1389	1.01	-0.05	1.00	G	5757	9.706	3
1390	0.96	0.02	0.98	G	5472	11.303	1
1391	0.78	0.01	0.90	K	4446	21.073	2
1392	0.70	-0.02	0.86	K	3989	29.155	1
1393	0.79	-0.04	0.90	K	4503	20.282	1
1394	1.00	0.06	1.00	G	5700	10.000	3
1395	0.96	0.00	0.98	G	5472	11.303	3
1396	1.02	0.03	1.01	G	5814	9.423	1
1397	1.02	0.03	1.01	G	5814	9.423	1
1398	0.75	-0.06	0.88	K	4275	23.704	3
1399	1.01	-0.07	1.00	G	5757	9.706	1
1400	0.86	-0.07	0.94	G	4902	15.722	3
1401	1.04	0.03	1.02	G	5928	8.890	1
1402	1.04	0.03	1.02	G	5928	8.890	1
1403	0.92	0.02	0.96	G	5244	12.842	1
1404	1.01	0.08	1.00	G	5757	9.706	1
1405	1.01	0.08	1.00	G	5757	9.706	1
1406	0.80	-0.01	0.91	K	4560	19.531	1
1407	0.95	-0.03	0.98	G	5415	11.664	4
1408	1.16	0.03	1.07	F	6611	6.407	2
1409	1.09	-0.01	1.04	F	6213	7.722	1
1410	1.04	0.04	1.02	G	5928	8.890	2
1411	1.18	0.03	1.07	F	6726	6.086	3
1412	0.98	0.06	0.99	G	5586	10.625	1
1413	0.81	-0.06	0.91	G	4617	18.817	1
1414	1.04	0.03	1.02	G	5928	8.890	1
1415	0.99	-0.02	1.00	G	5643	10.306	1
1416	0.85	0.07	0.93	G	4845	16.283	1
1417	0.80	0.04	0.91	K	4560	19.531	1
1418	0.88	-0.04	0.95	G	5016	14.674	2
1419	1.25	0.04	1.10	F	7125	5.120	1
1420	0.94	-0.17	0.97	G	5358	12.040	1
1421	1.11	0.02	1.05	F	6327	7.312	1
1422	1.08	0.06	1.03	F	6156	7.938	2
1423	1.38	0.04	1.15	F	7865	3.805	2
1424	1.05	0.06	1.02	F	5985	8.638	1
1425	0.93	-0.13	0.97	G	5301	12.432	1
1426	0.90	-0.08	0.96	G	5130	13.717	1
1427	1.00	0.06	1.00	G	5700	10.000	4
1428	0.77	0.06	0.89	K	4389	21.904	1
1429	1.06	0.06	1.03	F	6042	8.396	1
1430	0.96	0.01	0.98	G	5472	11.303	1
1431	1.03	0.06	1.01	G	5871	9.151	2
1432	1.18	0.05	1.07	F	6726	6.086	1
1433	0.96	0.01	0.98	G	5472	11.303	1
1434	0.86	-0.01	0.94	G	4902	15.722	5
1435	0.82	-0.01	0.92	G	4674	18.137	1
1436	1.02	0.36	1.01	G	5802	9.479	1
1437	1.00	-0.05	1.00	G	5700	10.000	1
1438	1.20	0.04	1.08	F	6840	5.787	1
1439	1.44	0.05	1.17	A	8208	3.349	3
1440	0.77	-0.19	0.89	K	4389	21.904	1
1441	0.85	-0.17	0.93	G	4845	16.283	1
1442	0.93	-0.18	0.97	G	5301	12.432	1
1443	0.95	-0.05	0.98	G	5415	11.664	1
1444	0.89	-0.03	0.95	G	5073	14.185	4
1445	1.14	0.01	1.06	F	6497	6.750	1
1446	1.00	0.03	1.00	G	5700	10.000	4
1447	0.83	-0.10	0.92	G	4731	17.489	2
1448	0.83	-0.10	0.92	G	4731	17.489	1
1449	1.19	0.04	1.08	F	6783	5.934	3
1450	1.17	0.14	1.07	F	6669	6.244	1
1451	0.73	0.20	0.87	K	4161	25.706	2
1452	0.99	0.14	1.00	G	5643	10.306	5
1453	1.21	0.14	1.09	F	6897	5.645	3
1454	1.30	0.07	1.12	F	7410	4.552	3
1455	1.04	0.03	1.02	G	5928	8.890	1
1456	1.58	0.01	1.22	A	9006	2.535	3
1457	1.54	0.06	1.20	A	8778	2.738	2
1458	0.94	-0.07	0.97	G	5358	12.040	3
1459	0.81	-0.05	0.91	G	4617	18.817	4
1460	0.96	-0.07	0.98	G	5472	11.303	3
1461	0.97	0.00	0.99	G	5529	10.957	4
1462	1.17	0.04	1.07	F	6669	6.244	1
1463	1.07	0.27	1.03	F	6099	8.163	1
1464	0.73	-0.01	0.87	K	4161	25.706	1
1465	1.21	0.07	1.09	F	6897	5.645	1
1466	1.03	0.03	1.01	G	5871	9.151	1
1467	0.81	-0.03	0.91	G	4617	18.817	1
1468	0.92	0.03	0.96	G	5244	12.842	3
1469	0.92	0.03	0.96	G	5244	12.842	1
1470	1.16	-0.03	1.07	F	6611	6.407	1
1471	0.91	-0.10	0.96	G	5187	13.270	1
1472	1.31	0.03	1.12	F	7467	4.448	1
1473	0.90	-0.01	0.96	G	5130	13.717	2
1474	1.08	0.00	1.03	F	6156	7.938	2
1475	0.71	0.05	0.86	K	4047	27.940	1
1476	0.81	-0.08	0.91	G	4617	18.817	5
1477	1.03	0.02	1.01	G	5871	9.151	1
1478	0.84	-0.01	0.93	G	4788	16.872	1
1479	0.89	-0.39	0.95	G	5073	14.185	4
1480	0.74	0.10	0.88	K	4218	24.678	1
1481	0.86	-0.04	0.94	G	4902	15.722	1
1482	0.94	0.06	0.97	G	5358	12.040	2
1483	0.94	0.06	0.97	G	5358	12.040	3
1484	0.94	0.06	0.97	G	5358	12.040	4
1485	0.94	0.06	0.97	G	5358	12.040	2
1486	1.39	0.07	1.15	F	7922	3.724	1
1487	0.81	0.02	0.91	G	4617	18.817	4
1488	0.84	-0.06	0.93	G	4788	16.872	2
1489	0.95	0.01	0.98	G	5415	11.664	1
1490	1.12	0.04	1.05	F	6384	7.118	1
1491	0.99	0.05	1.00	G	5643	10.306	1
1492	0.88	0.02	0.95	G	5016	14.674	1
1493	0.58	-0.36	0.79	K	3305	51.253	1
1494	1.07	0.01	1.03	F	6099	8.163	3
1495	1.14	0.01	1.06	F	6497	6.750	2
1496	0.85	-0.07	0.93	G	4845	16.283	1
1497	0.85	-0.09	0.93	G	4845	16.283	1
1498	0.84	-0.10	0.93	G	4788	16.872	4
1499	1.04	0.03	1.02	G	5928	8.890	1
1500	0.97	0.08	0.99	G	5529	10.957	3
1501	1.11	0.02	1.05	F	6327	7.312	1
1502	0.83	0.00	0.92	G	4731	17.489	3
1503	0.86	-0.04	0.94	G	4902	15.722	1
1504	1.02	0.04	1.01	G	5814	9.423	4
1505	1.07	0.04	1.03	F	6099	8.163	4
1506	1.02	0.11	1.01	G	5814	9.423	1
1507	1.00	0.02	1.00	G	5700	10.000	1
1508	0.93	0.03	0.97	G	5301	12.432	2
1509	0.76	-0.16	0.89	K	4332	22.780	4
1510	0.84	-0.07	0.93	G	4788	16.872	2
1511	0.95	-0.03	0.98	G	5415	11.664	1
1512	1.09	0.09	1.04	F	6213	7.722	1
1513	1.25	0.06	1.10	F	7125	5.120	4
1514	0.92	-0.04	0.96	G	5244	12.842	2
1515	1.23	0.04	1.09	F	7011	5.374	3
1516	0.97	0.08	0.99	G	5529	10.957	1
1517	1.01	0.02	1.00	G	5757	9.706	1
1518	1.06	0.08	1.03	F	6042	8.396	1
1519	0.95	-0.07	0.98	G	5415	11.664	1
1520	1.05	0.05	1.02	F	5985	8.638	1
1521	0.78	0.00	0.90	K	4446	21.073	1
1522	0.90	-0.13	0.96	G	5130	13.717	1
1523	0.75	0.11	0.88	K	4275	23.704	1
1524	1.47	0.12	1.18	A	8379	3.148	1
1525	1.12	0.07	1.05	F	6384	7.118	3
1526	0.28	0.48	0.58	M	1596	455.539	4
1527	0.94	-0.07	0.97	G	5358	12.040	1
1528	1.10	0.00	1.04	F	6270	7.513	4
1529	0.94	0.08	0.97	G	5358	12.040	1
1530	1.45	0.06	1.17	A	8265	3.280	1
1531	1.08	0.07	1.03	F	6156	7.938	1
1532	0.96	-0.14	0.98	G	5472	11.303	1
1533	1.18	0.08	1.07	F	6726	6.086	1
1534	1.11	0.03	1.05	F	6327	7.312	2
1535	1.10	0.01	1.04	F	6270	7.513	1
1536	1.18	0.04	1.07	F	6726	6.086	4
1537	0.81	0.02	0.91	G	4617	18.817	1
1538	1.06	0.03	1.03	F	6042	8.396	4
1539	0.84	-0.02	0.93	G	4788	16.872	1
1540	0.95	-0.11	0.98	G	5415	11.664	1
1541	1.25	0.02	1.10	F	7125	5.120	1
1542	1.07	0.04	1.03	F	6099	8.163	1
1543	0.99	0.02	1.00	G	5643	10.306	2
1544	0.85	-0.30	0.93	G	4844	16.289	4
1545	0.86	0.07	0.94	G	4902	15.722	1
1546	1.04	0.05	1.02	G	5928	8.890	1
1547	1.22	0.02	1.09	F	6954	5.507	1
1548	1.21	0.07	1.09	F	6897	5.645	3
1549	0.81	0.02	0.91	G	4617	18.817	1
1550	0.86	-0.01	0.94	G	4902	15.722	1
1551	0.90	0.01	0.96	G	5130	13.717	1
1552	1.14	0.05	1.06	F	6497	6.750	1
1553	0.75	-0.24	0.88	K	4275	23.704	3
1554	1.18	0.10	1.07	F	6726	6.086	1
1555	0.77	-0.09	0.89	K	4389	21.904	2
1556	0.77	-0.09	0.89	K	4389	21.904	3
1557	0.91	0.10	0.96	G	5187	13.270	1
1558	0.94	0.01	0.97	G	5358	12.040	1
1559	0.96	0.03	0.98	G	5472	11.303	1
1560	1.08	0.01	1.03	F	6156	7.938	1
1561	0.79	-0.17	0.90	K	4503	20.282	1
1562	1.04	0.06	1.02	G	5928	8.890	1
1563	1.21	0.02	1.09	F	6897	5.645	1
1564	1.15	0.01	1.06	F	6554	6.575	1
1565	1.41	0.04	1.16	A	8036	3.567	1
1566	1.00	-0.07	1.00	G	5700	10.000	1
1567	1.15	0.03	1.06	F	6554	6.575	3
1568	1.15	0.03	1.06	F	6554	6.575	1
1569	1.31	0.04	1.12	F	7467	4.448	4
1570	1.00	0.04	1.00	G	5700	10.000	1
1571	0.50	0.06	0.74	K	2850	80.000	4
1572	0.96	0.01	0.98	G	5472	11.303	1
1573	1.51	0.04	1.19	A	8607	2.904	1
1574	0.87	-0.10	0.94	G	4959	15.186	1
1575	0.55	0.17	0.77	K	3135	60.105	1
1576	1.01	0.05	1.00	G	5757	9.706	1
1577	0.96	-0.02	0.98	G	5472	11.303	1
1578	0.96	-0.02	0.98	G	5472	11.303	1
1579	0.66	-0.46	0.84	K	3762	34.783	1
1580	0.97	0.04	0.99	G	5529	10.957	1
1581	1.12	0.00	1.05	F	6384	7.118	1
1582	1.20	0.02	1.08	F	6840	5.787	1
1583	0.92	0.02	0.96	G	5244	12.842	5
1584	0.89	0.06	0.95	G	5073	14.185	1
1585	1.01	0.03	1.00	G	5757	9.706	1
1586	1.02	0.07	1.01	G	5814	9.423	1
1587	0.97	-0.01	0.99	G	5529	10.957	1
1588	1.12	-0.03	1.05	F	6384	7.118	2
1589	1.11	-0.12	1.05	F	6327	7.312	1
1590	1.11	-0.12	1.05	F	6327	7.312	1
1591	1.11	-0.12	1.05	F	6327	7.312	3
1592	1.27	0.10	1.11	F	7239	4.882	2
1593	1.12	-0.02	1.05	F	6384	7.118	3
1594	1.12	-0.02	1.05	F	6384	7.118	1
1595	0.88	-0.01	0.95	G	5016	14.674	3
1596	0.88	-0.01	0.95	G	5016	14.674	1
1597	0.92	-0.01	0.96	G	5244	12.842	2
1598	0.89	-0.10	0.95	G	5073	14.185	1
1599	1.02	0.04	1.01	G	5814	9.423	2
1600	0.24	0.04	0.54	M	1368	723.380	1
1601	0.22	-0.15	0.52	M	1248	952.067	1
1602	0.33	-0.11	0.62	M	1858	288.634	4
1603	0.52	-0.16	0.76	K	2975	70.305	1
1604	0.76	0.05	0.89	K	4332	22.780	2
1605	0.76	0.05	0.89	K	4332	22.780	1
1606	0.76	0.05	0.89	K	4332	22.780	1
1607	0.76	0.05	0.89	K	4332	22.780	4
1608	0.86	0.24	0.94	G	4902	15.722	3
1609	0.86	0.24	0.94	G	4902	15.722	2
1610	0.86	0.24	0.94	G	4902	15.722	1
1611	0.86	0.24	0.94	G	4902	15.722	1
1612	0.86	0.24	0.94	G	4902	15.722	2
1613	1.16	0.26	1.07	F	6611	6.407	1
1614	0.86	0.01	0.94	G	4902	15.722	1
1615	0.86	0.01	0.94	G	4902	15.722	1
1616	0.86	0.01	0.94	G	4902	15.722	3
1617	0.86	0.01	0.94	G	4902	15.722	3
1618	0.78	-0.79	0.90	K	4446	21.073	1
1619	1.04	-0.02	1.02	G	5928	8.890	1
1620	1.04	-0.02	1.02	G	5928	8.890	1
